Sample in Buffer,Sample in Window,TRIGGER,Aquila_SoC/RISCV_CORE0/BPU_Profiler/incorrect_predictions_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/prediction_accuracy_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/mispred_penalty_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/total_branches_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/cpi_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/correct_predictions_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hits_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hit_rate_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_misses_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hit_rate_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/prediction_accuracy_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/instruction_completed_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/fetch_pc_debug[31:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/execution_cycles_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/cpi_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/penalty_counting_debug
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX,HEX,HEX,HEX
1347,1347,0,12494010,269963753,13775964,277768633,000000004ce313eb,257469743,39962900,39962900,262873934,302836834,257469743,000000004ce313ec,00004d20,000000005af85b49,000000005af85b48,0
1348,1348,0,12494010,269963753,13775964,277768633,000000004ce313ec,257469743,39962900,39962900,262873934,302836834,257469743,000000004ce313ec,00004d20,000000005af85b49,000000005af85b49,0
1349,1349,0,12494010,269963753,13775964,277768633,000000004ce313ec,257469743,39962900,39962900,262873934,302836834,257469743,000000004ce313ed,00004d18,000000005af85b4a,000000005af85b49,0
1350,1350,0,12494010,269963753,13775964,277768633,000000004ce313ed,257469743,39962900,39962900,262873934,302836834,257469743,000000004ce313ed,00004d1c,000000005af85b4b,000000005af85b4a,0
1351,1351,0,12494010,269963753,13775964,277768634,000000004ce313ed,257469744,39962900,39962900,262873935,302836834,257469743,000000004ce313ee,00004d20,000000005af85b4c,000000005af85b4b,0
1352,1352,0,12494010,269963754,13775964,277768634,000000004ce313ee,257469744,39962900,39962900,262873935,302836835,257469744,000000004ce313ef,00004d20,000000005af85b4d,000000005af85b4c,0
1353,1353,0,12494010,269963754,13775964,277768634,000000004ce313ef,257469744,39962900,39962900,262873935,302836835,257469744,000000004ce313ef,00004d20,000000005af85b4d,000000005af85b4d,0
1354,1354,0,12494010,269963754,13775964,277768634,000000004ce313ef,257469744,39962900,39962900,262873935,302836835,257469744,000000004ce313f0,00004d18,000000005af85b4e,000000005af85b4d,0
1355,1355,0,12494010,269963754,13775964,277768634,000000004ce313f0,257469744,39962900,39962900,262873935,302836835,257469744,000000004ce313f0,00004d1c,000000005af85b4f,000000005af85b4e,0
1356,1356,0,12494010,269963754,13775964,277768635,000000004ce313f0,257469745,39962900,39962900,262873936,302836835,257469744,000000004ce313f1,00004d20,000000005af85b50,000000005af85b4f,0
